Username,Handle,Timestamp,Content,Replies,Retweets,Likes,Hashtags,Mentions
VOLCANO,@Udayaku08151754,16-11-2025 14:59,"· | 10h | HCLTECH FURURE: |  | BUY 1610 | SL 1570 | TARGET 1640, 1675 AND 1710+++ |  | #Nifty50  | #Nifty  | #NiftyMidcap100  | #Niftypsubank  | #NIFTYSMALLCAP100 | VOLCANO | @Udayaku08151754 | · | 12h | Monday How many points?",Show this poll,1,232,"#Nifty50, #Nifty, #NiftyMidcap100, #Niftypsubank, #NIFTYSMALLCAP100",@Udayaku08151754
RD8 Harmonic Trader,@RD804011875,16-11-2025 14:58,· | 10h | #Policybazaar           |  | Bullish Pattern Formed             |  | RR 1:2    |,"For TRADING TIPS , AUTO INDICATOR AND LEARNING Harmonics DM me.       ", #Nifty50 #DayTrading #Stock #GIFTNIFTY #StocksToBuy #Niftypsubank #NiftyMidcap100 #optiontrading #StocksToWatch #INTRADAY #NiftyBank,130,#Policybazaar,
Harsh Seth,@HarshDSeth,16-11-2025 14:56,"· | 10h |  Health Alert   |  | #Nifty | #FarrhanaBhatt | #Nifty50  | #StockMarket  | #Stock  | #StockMarketIndia  | #StocksToWatch  | #BSE  | #NSE | #Sensex | Harsh Seth | @HarshDSeth | · | 10h |  Health Alert   |  | New Survey and Research found that India is experiencing an alarming rise in temperature, Pressing a More Challenging Every Day Life for Outdoor Workers. Impact is Two-fold - Diminished Income and Escalation in Health Issues.  | Show more",1,2,391,"#Nifty, #FarrhanaBhatt, #Nifty50, #StockMarket, #Stock, #StockMarketIndia, #StocksToWatch, #BSE, #NSE, #Sensex",@HarshDSeth
RD8 Harmonic Trader,@RD804011875,16-11-2025 14:53,· | 10h | #Glenmark              |  | Bearish Pattern Formed            | RR 1:2,"For TRADING TIPS , AUTO INDICATOR AND LEARNING Harmonics DM me.        #Nifty50 #Trump #DayTrading #Stock #GIFTNIFTY #StocksToBuy #Niftypsubank #NiftyMidcap100 #optiontrading #StocksToWatch #INTRADAY #NiftyBank",2,504,#Glenmark,
Mota Bhai - Chart is King (NISM Certified),@ASR_Official1,16-11-2025 14:50,· | 10h | Announcement: Tomorrow is the Last day to apply in India's growth story!!! |  | FREE SIGN UP:  | a.aonelink.in/ANGOne/aaCSWxL,,#Nifty50 #StockMarketIndia #GDPgrowth #BiharElection2025 #MutualFund #indiagrowthstory #Delhi #gurgaon #Mumbai #chennai #ahembdabad #Surat #Pune #Noida,171,,
RD8 Harmonic Trader,@RD804011875,16-11-2025 14:49,· | 10h | #Bharatforge             | Bearish Pattern Formed,RR 1:3   ,"For TRADING TIPS , AUTO INDICATOR AND LEARNING Harmonics DM me.          #Nifty50 #Trump #DayTrading #Stock #GIFTNIFTY #StocksToBuy #Niftypsubank #NiftyMidcap100 #optiontrading #StocksToWatch #INTRADAY #NiftyBank",140,#Bharatforge,
CA Rahul Kumar Jain,@carahuljain93,16-11-2025 14:49,"· | 10h | #vodafoneidea 10.94 |  | This guy has broken out of the consolidation with good volumes, time for some momemntum here. |  | #Nifty #Nifty50 #Niftypsubank #NiftyMidcap100 #NIFTYSMALLCAP100 #Breakoutstocks #Breakoutstock #TradingView #StockMarket #StockMarketIndia #stockmarketsindia",4,9,698,"#vodafoneidea, #Nifty, #Nifty50, #Niftypsubank, #NiftyMidcap100, #NIFTYSMALLCAP100, #Breakoutstocks, #Breakoutstock, #TradingView, #StockMarket, #StockMarketIndia, #stockmarketsindia",
Trading Zone,@prsablue,16-11-2025 14:19,· | 11h | #THYROCARE |  | CUP & HANDLE  |  | #nifty #nifty50 #sensex #stockmarket #banknifty #StocksToWatch #giftnifty #StocksInFocus #stocks #watchlist #investment | Trading Zone | @prsablue | · | Nov 13 | #THYROCARE |  | From yesterday's newsletter video |  | #nifty #nifty50 #sensex #stockmarket #banknifty,1,1,387,"#THYROCARE, #nifty, #nifty50, #sensex, #stockmarket, #banknifty, #StocksToWatch, #giftnifty, #StocksInFocus, #stocks, #watchlist, #investment, #THYROCARE, #nifty, #nifty50, #sensex, #stockmarket, #banknifty",@prsablue
Biplab Das,@Biplab_Das_IND,16-11-2025 14:18,· | 11h | A gentle reminder - Raat ko 9 baje Live session hoga Index open interest analysis ke upad  |  | #Nifty  | #Nifty50  | #StockMarket  | #OptionsTrading | youtube.com | Index OI Data Analysis: Decode FII-DII Positions & Predict Tomorrow’s... |  Live Stream Topic: Index OI Data Analysis: Decode FII-DII Positions & Predict Tomorrow’s Market Move Like a Pro! Join us for a deep dive into participant-...,1,2,528,"#Nifty, #Nifty50, #StockMarket, #OptionsTrading",
RD8 Harmonic Trader,@RD804011875,16-11-2025 14:16,· | 11h | PHOENIX             | Bullish Pattern Formed   | RR 1:4,"For TRADING TIPS , INDICATOR/AUTO SIGNAL, LEARNING Harmonics DM me.           ",#Nifty50 #Trump #DayTrading #Stock #GIFTNIFTY #StocksToBuy #Niftypsubank #NiftyMidcap100 #optiontrading #StocksToWatch #INTRADAY #NiftyBank,102,,
RD8 Harmonic Trader,@RD804011875,16-11-2025 14:13,· | 11h | JIOFIN            | Bearish Harmonic Pattern Formed,RR 1:4   ,"For TRADING TIPS , INDICATOR/AUTO SIGNAL, LEARNING Harmonics DM me.           #Nifty50 #Trump #DayTrading #Stock #GIFTNIFTY #StocksToBuy #Niftypsubank #NiftyMidcap100 #optiontrading #StocksToWatch #INTRADAY #NiftyBank",150,,
RD8 Harmonic Trader,@RD804011875,16-11-2025 14:07,· | 11h | JIOFIN          |  | Bearish Harmonic Pattern Formed | RR 1:4,"For TRADING TIPS , INDICATOR/AUTO SIGNAL, LEARNING Harmonics DM me.            ",#Nifty50 #Trump #DayTrading #Stock #GIFTNIFTY #StocksToBuy #Niftypsubank #NiftyMidcap100 #optiontrading #StocksToWatch #INTRADAY #NiftyBank,139,,
Faizan,@TheFaizanTrader,16-11-2025 14:05,· | 11h | #Nifty50 #StockMarket #IndianStockMarket |  | Monday Nifty Kaisa Rahega  | RED | GREEN | 61 votes,·,12 hours left,230,"#Nifty50, #StockMarket, #IndianStockMarket",
RD8 Harmonic Trader,@RD804011875,16-11-2025 13:59,"· | 11h | SBIN        |  | Bearish Harmonic Pattern Formed. |  | RR 1:3 |  | For TRADING TIPS , INDICATOR/AUTO SIGNAL, LEARNING Harmonics DM me.",,#Nifty50 #Trump #DayTrading #Stock #GIFTNIFTY #StocksToBuy #Niftypsubank #NiftyMidcap100 #optiontrading #StocksToWatch #INTRADAY #NiftyBank,132,,
Harsh Seth,@HarshDSeth,16-11-2025 13:47,· | 11h |  Aircrafts manufacturing in India   | #Nifty | #FarrhanaBhatt | #Nifty50  | #StockMarket  | #Stock  | #StockMarketIndia  | #StocksToWatch  | #BSE  | #NSE | #Sensex | Harsh Seth | @HarshDSeth | · | 11h |  News Update   |  | India's Hindustan Aeronautics Limited is joining forces with Russia's United Aircraft Corporation to Manufacture SJ-100 regional aircraft in India. | 1,1,1,401,"#Nifty, #FarrhanaBhatt, #Nifty50, #StockMarket, #Stock, #StockMarketIndia, #StocksToWatch, #BSE, #NSE, #Sensex",@HarshDSeth
Harsh Seth,@HarshDSeth,16-11-2025 13:46,· | 11h |  News Update   |  | India's Hindustan Aeronautics Limited is joining forces with Russia's United Aircraft Corporation to Manufacture SJ-100 regional aircraft in India. |  | #Nifty | #FarrhanaBhatt | #Nifty50  | #StockMarket  | #Stock  | #StockMarketIndia  | #StocksToWatch  | #BSE  | #NSE | #Sensex,2,2,754,"#Nifty, #FarrhanaBhatt, #Nifty50, #StockMarket, #Stock, #StockMarketIndia, #StocksToWatch, #BSE, #NSE, #Sensex",
Option ICONS,@jay_jaykrishna,16-11-2025 13:30,· | 12h | youtu.be/RXqM8BNQxUc?si,… #Crypto #Nifty50 #trendingpost #OptionsTrading,1,71,,
RD8 Harmonic Trader,@RD804011875,16-11-2025 13:30,"· | 12h | SBIN      |  | Bearish Harmonic Pattern Formed  |  | RR 1:5          |  | For TRADING TIPS , INDICATOR/AUTO SIGNAL, LEARNING Harmonics DM me.         |",#Nifty50 #Trump #DayTrading #Stock #GIFTNIFTY #StocksToBuy #Niftypsubank #NiftyMidcap100 #optiontrading #StocksToWatch #INTRADAY #NiftyBank,1,218,,
KIND-HEART...,@ParinSh75642240,16-11-2025 13:29,· | 12h | #Nifty #nifty50  #banknifty #INTRADAY #intradaytrading #StockMarket | #StockToWatch #StocksInFocus,Dynamatic tech... what a short term returns... check pin profile...,Always stay ahead... check my profile time to time... you will never repent,164,"#Nifty, #nifty50, #banknifty, #INTRADAY, #intradaytrading, #StockMarket, #StockToWatch, #StocksInFocus",
Mahendra Zala,@Emperor____18,16-11-2025 13:27,· | 12h |  I’ve officially started my STOCK MARKET Telegram Channel! |  | If you’re into |  NIFTY / BANK NIFTY |  Price Action |  Option Buying |  Daily Market Insights |  | Then this is the place for you. | Join the community & level up your trading journey. |  |  Link in bio | #StockMarket #Nifty50,1,2,205,"#StockMarket, #Nifty50",
Ankur Singh,@AnalysisTh24665,16-11-2025 13:16,"· | 12h | Date 16.11.2025 | Nifty Spot  | Timeframe : Weekly  | Cmp 25910 |  | (1) As per the harmonics nifty top should be around 27269 |  | (2) A 1641 points from here, upside  |  | Lets see... |",#nifty50 #banknifty #giftnifty #sensex #stockmarketindia #gold #silver #crudeoil #nft #cryptomarket #bitcoin,1,249,,
RD8 Harmonic Trader,@RD804011875,16-11-2025 13:03,· | 12h | ETERNAL      |  | Bearish Harmonic Pattern Formed | RR 1:4        |,"For TRADING TIPS , INDICATOR/AUTO SIGNAL, LEARNING Harmonics DM me.        #Nifty50 #Trump #DayTrading #Stock #GIFTNIFTY #StocksToBuy #Niftypsubank #NiftyMidcap100 #optiontrading  #StocksToWatch #INTRADAY #NiftyBank",2,211,,
Quant Of Dalal Street,@IndianQuantDev,16-11-2025 12:58,"· | 12h | #Nifty 5-yr returns breakdown: Nominal 82.93% | Money printing 54.52% | Real productivity 3.72% | Rupee depreciation benefit 9.93% | Inflation -24.69% | Real return 13.64%. Annualized: nominal 12.8%, real 2.6%. Rupee depreciated 19.85% vs USD. Interesting!!",#Quant #Nifty50,1,242,#Nifty,
ADS,@AgenticKode,16-11-2025 12:49,· | 12h | The stock market is all about time-consuming analysis and quick execution afterwards.,,#StockMarket #Nifty50 #GIFTNIFTY,189,,
Harsh Seth,@HarshDSeth,16-11-2025 12:43,· | 12h |  Intraday Trading Call for Tomorrow   |  | #Nifty | #FarrhanaBhatt | #Nifty50  | #StockMarket  | #Stock  | #StockMarketIndia  | #StocksToWatch  | #BSE  | #NSE | #Sensex | Harsh Seth | @HarshDSeth | · | 12h |   Intraday Trading Call  |  | IndusInd Bank Ltd. |  | CMP Rs. 848 | Target Rs. 852,1,1,530,"#Nifty, #FarrhanaBhatt, #Nifty50, #StockMarket, #Stock, #StockMarketIndia, #StocksToWatch, #BSE, #NSE, #Sensex",@HarshDSeth
RD8 Harmonic Trader,@RD804011875,16-11-2025 12:32,"· | 13h | JUBLFOOD  |  | RR 1:4    |  | For TRADING TIPS , INDICATOR/AUTO SIGNAL, LEARNING Harmonics DM me.     |",#Nifty50 #Trump #DayTrading #Groww #Stock #GIFTNIFTY #StocksToBuy #Niftypsubank #NiftyMidcap100  #optiontrading #optionbuying #StocksToWatch #INTRADAY #NiftyBank #BiharElection2025,2,233,,
Ankur Singh,@AnalysisTh24665,16-11-2025 12:25,· | 13h | Date 16.11.2025 | Nifty Futures | Timeframe : Weekly Chart,,#nifty50 #giftnifty #sensex #banknifty #stockmarketindia #gold #silver,236,,
Anubhav Talwar,@AnubhavTalwar,16-11-2025 12:16,· | 13h | Replying to  | @AnubhavTalwar |  Final Takeaway | If you’re buying Calls near S3 with 3 days to expiry: |  Always convert to a Bull Call Spread |  Buy ATM CE |  Sell CE near R3 |  SL at S4 | Smart hedge → Steady profits → Controlled risk. | #Trading #Nifty50 #Optiontrading,1,7,198,"#Trading, #Nifty50, #Optiontrading",@AnubhavTalwar
SickInvestor,@akarsh8127169,16-11-2025 12:15,"· | 13h | Debt can accelerate growth or crash it. |  | Think of it as Red Bull for companies  | one too many, and they start shaking.",,#StockMarketIndia #Nifty50 #trading #investing,106,,
Pk Chaudhary X,@pktradeinn05,16-11-2025 12:06,· | 13h | Replying to,@pktradeinn05,#Nifty50 #Niftypsubank,104,,
NiftyNerve,@NiftyNerve,16-11-2025 12:06,"· | 13h | Markets can be unpredictable, but a structured approach changes everything. |  | Follow real-time analysis and actionable insights on Nifty Nerve to trade with confidence. |  | Stay ahead  | t.me/NiftyNerve",,#Nifty #Sensex #Nifty50 #StockMarket #NiftyAnalysis #PriceAction #BankNifty,141,,
jayesh bodana,@jay64199,16-11-2025 12:03,· | 13h | #StockMarketIndia #StockMarkets #Nifty50 #sensex #ElectionUpdate #BiharElection2025 #positiveopening  |  | Any body gauses how market positive on Monday trading session,Groww and 2 others,1,91,"#StockMarketIndia, #StockMarkets, #Nifty50, #sensex, #ElectionUpdate, #BiharElection2025, #positiveopening",
Keshav Soni,@keshavsoni95,16-11-2025 11:53,"· | 13h | #pateleng  |  | CMP - 35.9 |  | This company has given a lot of pain to a lot of investors.  |  | But, but, but, it is about to turn around very soon. |  | Clean wave count as shown with bullish divergence on weekly charts. |  | Time to take pateleng to 74 and then 112 very soon. |  | #Nifty50 | Show more | Umang Bhavsar | @umangbhavsar31 | · | 15h | Replying to @keshavsoni95 | Patel eng (stuck) | 2",1,7,865,"#pateleng, #Nifty50","@umangbhavsar31, @keshavsoni95"
Milind Prabhu,@mildprabhu2021,16-11-2025 11:45,"· | 13h | Nifty | Tomorrow Prediction | 17th November 2025 | | #Nifty | #Nifty50 | #niftyoption | #niftyfuture | #niftycrash | #niftyrally | #INTRADAY | #intradaytrading | #viral | #viralvideo | youtube.com | Nifty |Tomorrow Prediction| 17th November 2025 | #nifty #trading... | Nifty || Prediction || 17th November 2025 || @StockMarketDreamers.Milind.P #intraday #options #trading #jackpot Hey , This is Milind Prabhu From @StockMarke...",1,1,446,"#Nifty, #Nifty50, #niftyoption, #niftyfuture, #niftycrash, #niftyrally, #INTRADAY, #intradaytrading, #viral, #viralvideo, #nifty, #trading..., #intraday, #options, #trading, #jackpot","@StockMarketDreamers.Milind.P, @StockMarke..."
Akhil Munti,@AkhilMunti,16-11-2025 11:14,"· | 14h | The Nifty Rally: Political Cheer vs. Global Fear!  |  | The Nifty closed the week strong above 25,900, largely due to the NDA's Bihar win. Question: Will this political certainty sustain the rally, or is the market due for a correction this week?",,#StockMarket #Nifty50 #Investing,125,,
Harsh Seth,@HarshDSeth,16-11-2025 11:14,· | 14h |  Profit Call   |  | Mankind Pharma Ltd. |  | CMP Rs. 2267 | Target Rs. 2330 |  | It has crossed the resistance level of 2267 in multiple times in the last 2 days. | Look at the Chart   |  | #Nifty | #FarrhanaBhatt | #Nifty50  | #StockMarket  | #Stock  | #StockMarketIndia  | #StocksToWatch  | #BSE  | #NSE | Show more,3,2,616,"#Nifty, #FarrhanaBhatt, #Nifty50, #StockMarket, #Stock, #StockMarketIndia, #StocksToWatch, #BSE, #NSE",
StockMarketNews,@stock_news_m,16-11-2025 11:14,· | 14h | Tomorrow sure shot 690 points gap up opening. |  | Rip Bears    |,#Nifty50,1,84,,
Jaimik,@jaimik2424,16-11-2025 10:38,· | 14h | I was analyzing few stocks and looks decent to me for 30-50% returns in short to mid term. |  | Bhagyanagar Industries - Copper turnaround story  | Retaggio Industries - Available at Dirt Cheap  | Novelix Pharma - Going to manufacture Astaxanthin (Trending Drug) | No buy/sell Reco | #nifty50,1,2,341,#nifty50,
Madhav,@DocmadhavhegdeY,16-11-2025 10:32,· | 15h | Weekly Losers!,#StockMarket #StockMarketIndia #Nifty50 ,#OlaElectric #fortis #sobha #Sapphire,118,,
Rithik,@Rithikjain_24,16-11-2025 10:15,"· | 15h | #Nifty50 after that october green candle all thought nifty heading to mighty 1000 points rally. | From there nifty fall at least 700 points and touched 25,333  | Now same shit again seeing this weekly green candle again some influencer anchors analyst screaming 27,000-30,000. | Be safe",Show more,2,221,#Nifty50,
hitesh Jethwa,@h4hitman90,16-11-2025 10:13,· | 15h | My point of view on nifty...30000 | However there would be many dips way up..but the direction is pretty much sorted out..,#Nifty50,1,174,,
Raman Iyer,@iyerraman75,16-11-2025 10:13,· | 15h | ORGANISED LOOT: | MOUTH WATERING DEAL: RUSSIAN OIL -$60 | NOW: ONGC,"RIL SAY ""Gas come on its own""",#Nifty50,126,,
Mr Singh,@DeepakK12121,16-11-2025 10:01,· | 15h | When Nifty50 will  make ATH. |  | #Nifty50 #BiharElection2025 #NarendraModi #DonaldTrump #tradedeal #USA #Varanasi | November 2025 | December 2025 | Next year | 24 votes,·,6 days left,118,"#Nifty50, #BiharElection2025, #NarendraModi, #DonaldTrump, #tradedeal, #USA, #Varanasi",
Harsh Seth,@HarshDSeth,16-11-2025 08:49,· | 16h |  Profit Call   |  | #Nifty | #FarrhanaBhatt | #Nifty50  | #StockMarket  | #Stock  | #StockMarketIndia  | #StocksToWatch  | #BSE  | #NSE | #Sensex | Harsh Seth | @HarshDSeth | · | 16h |  Trading Call for Tomorrow   |  | FACT Ltd. |  | CMP Rs. 914 | Target Rs. 940/960 | Look at the last One Month Chart,1,1,363,"#Nifty, #FarrhanaBhatt, #Nifty50, #StockMarket, #Stock, #StockMarketIndia, #StocksToWatch, #BSE, #NSE, #Sensex",@HarshDSeth
LocationReviewX,@LocationReviewX,16-11-2025 08:48,"· | 16h |  #Nifty's strong uptrend signals steady market momentum, anticipating a potential fresh breakout. |  Mutual funds favored stocks outside the #Nifty50 in October 2025, diversifying investment strategies. |  Kotak Mahindra AMC suggests India remains a long-term growth story, | Show more | locationreviewx.com | MapNews by LocationReviewX | AI-Powered Location-Based News","MapNews lets you discover the latest headlines mapped to where they happen. Search news by topic, location, or trend, and explore stories visually on an AI-powered interactive map",1,186,"#Nifty's, #Nifty50",
PJV FINANCIAL,@Punit4156,16-11-2025 08:47,"· | 16h |  Pjv Financial – Weekly Derivatives Outlook | (17th Nov – 21st Nov 2025) | | | #NIFTY50  FUT – 25,951.4 |  Support: 25,690 / 25,428 |  Resistance: 26,184 / 26,301 |  Consolidation seen; index above key WEMA levels",|,"#NIFTYBANK  FUT – 58,644... #frontpage_app",126,#NIFTY50,
Harsh Seth,@HarshDSeth,16-11-2025 08:47,· | 16h |  Trading Call for Tomorrow   |  | FACT Ltd. |  | CMP Rs. 914 | Target Rs. 940/960 | Look at the last One Month Chart  It has crossed resistance of 911. Bound to Rise   |  | #Nifty | #FarrhanaBhatt | #Nifty50  | #StockMarket  | #Stock  | #StockMarketIndia  | #StocksToWatch  | #BSE  | #NSE | #Sensex,2,1,771,"#Nifty, #FarrhanaBhatt, #Nifty50, #StockMarket, #Stock, #StockMarketIndia, #StocksToWatch, #BSE, #NSE, #Sensex",
Decoded,@Decoded0001,16-11-2025 08:29,· | 17h | Defence sector is ready  |  | #Nifty50  | #StockMarket,#Defence,1,271,"#Nifty50, #StockMarket",
Harsh Seth,@HarshDSeth,16-11-2025 08:13,· | 17h | Good Morning Investors and Traders   |  | Have a Great Sunday   |  | Tomorrow is Our Profit Marking Day   |  | #Nifty | #FarrhanaBhatt | #Nifty50  | #StockMarket  | #Stock  | #StockMarketIndia  | #StocksToWatch  | #BSE  | #NSE | #Sensex,3,2,432,"#Nifty, #FarrhanaBhatt, #Nifty50, #StockMarket, #Stock, #StockMarketIndia, #StocksToWatch, #BSE, #NSE, #Sensex",
Trading Zone,@prsablue,16-11-2025 08:11,"· | 17h | ""Bull markets are strongest when they are broad and weakest when they narrow to a handful of blue chip names"" |  | #nifty #nifty50 #sensex #stockmarket #banknifty #StocksToWatch #giftnifty #StocksInFocus #stocks #watchlist #investment",1,3,431,"#nifty, #nifty50, #sensex, #stockmarket, #banknifty, #StocksToWatch, #giftnifty, #StocksInFocus, #stocks, #watchlist, #investment",
Ms,@Manish_Raj79,16-11-2025 07:41,· | 17h | Please don't spread my option skills.  | #Nifty50 #Nifty #BiharElection2025 | Piyush Chaudhry | @piyushchaudhry | · | Nov 15 | Meet .. Option Buyer,1,3,1.1K,"#Nifty50, #Nifty, #BiharElection2025",@piyushchaudhry
Baahubali,@baahubali456,16-11-2025 07:28,· | 18h | Nifty at 23.8x P/E isn’t expensive. | Midcaps at 40x & smallcaps at 50x+ are.,Stick to quality. Keep SIP running.,#Nifty50 #InvestingIndia #StockMarketIndia #LongTermInvesting #WealthCreation #SIP,108,,
Fno charts,@fnocharts,16-11-2025 07:19,· | 18h | Good Morning #Everyone |,#Nifty50 #GIFTNIFTY,7,1.4K,#Everyone,
Baahubali,@baahubali456,16-11-2025 07:17,· | 18h | 20 साल पहले ₹1 लाख डाला होता Nifty 50 में? | आज होते ~₹14–15 लाख  | और बैंक FD में? | बस ₹4–4.5 लाख  | Equity ने FD को रौंद दिया… फिर से!,Long-term investing >> सब कुछ,#Nifty50 #SIP #InvestingIndia,141,,
Nifty Traders mindset,@the_traderl,16-11-2025 07:11,· | 18h | Join my telegram channel for free trades in nifty and sensex  | Telegram channel -  | t.me/tradersmindset | … |,#Nifty #Nifty50 #optionbuying,1,214,,
Turtle Trader,@TradingMantra2,16-11-2025 06:49,· | 18h | Strategy beats predictions every single time. |  | You don’t need to know where the market will go. |  | You only need a rule that tells you what you will do.,,#NIFTY50,93,,
NiftyNerve,@NiftyNerve,16-11-2025 06:03,"· | 19h | Want real-time market clarity instead of confusion? |  | On Nifty Nerve, I post support/resistance, intraday levels and live trade updates for traders who value structure and discipline. |  | Start learning & trading   | t.me/NiftyNerve |  | #Nifty #Sensex #Nifty50 #StockMarket | t.me",Nifty Nerve,Live Setups | Trade Plans | Market Structure  Pre & Post Market Analysis  Learning + Trade Psychology Insights ,415,"#Nifty, #Sensex, #Nifty50, #StockMarket",
Rupesh Kushwa,@KushwaRupe29121,16-11-2025 04:37,·,21h,It's called consistency #tradingstrategy #Nifty50 #profitabletrader,98,,
NiftyNerve,@NiftyNerve,16-11-2025 03:06,· | 22h | Trading psychology + price action = smarter trades. |  | I share live market updates and analysis that help you understand why Nifty moves and how to trade with discipline. |  | Join now   | t.me/NiftyNerve |  | #Nifty #Sensex #Nifty50 #StockMarket #NiftyAnalysis #PriceAction #BankNifty | t.me,Nifty Nerve,Live Setups | Trade Plans | Market Structure  Pre & Post Market Analysis  Learning + Trade Psychology Insights ,396,"#Nifty, #Sensex, #Nifty50, #StockMarket, #NiftyAnalysis, #PriceAction, #BankNifty",
ROHITT,@NiveshMantr,16-11-2025 01:49,"· | 23h | #Nifty50 #StockMarketIndia | #YouTube | youtube.com | NIFTY50 Next Week View | Stock Market India Analysis | Psychological... | Nifty 50 analysis, nifty next week, stock market india analysis, nifty prediction, bank nifty analysis, stock market today, stock market next week, nifty tec...",2,1,429,"#Nifty50, #StockMarketIndia, #YouTube",
